taxon,Locality,institution,ID,Sex,dorsal_color,ventral_color,dorsal-ventral_color_transition,ventral_tail_color,Chin_color,dorsal_scale_rows_anterior (10 ventrals in),dorsal_scale_rows_midbody,dorsal_scale_rows_posterior (5 before vent),anal_plate,ventrals,subcaudal_type,subcaudals_left,subcaudals_right,head_length,head_width,head_length-width_ratio,total_length,tail_length ,tail_total_ratio,body_width_midbody1 ,body_width_midbody2 ,body_width_midbody3 ,body_width_midbody_average,radius,circumference,anterior_chin_shield_length_left,anterior_chin_shield_width_left,posterior_chin_shield_length_left,posterior_chin_shield_width_left,intergenial_length_left,intergenial_width_left,anterior_chin_shield_length_right,anterior_chin_shield_width_right,posterior_chin_shield_length_right,posterior_chin_shield_width_right,intergenial_length_right,intergenial_width_right,temporal_scale_formula: ant+post (L | R),supraoculars (L | R),preoculars (L | R),suboculars (L | R),postoculars (L | R),supralabials (L | R),supralabials_contacts_loreal (L | R),supralabials_contact_eye (L | R),infralabials (L | R),infralabials_contact_anterior_chin_shields (L | R),infralabials_contact_posterior_chin_shields (L | R)
Hypsiscopus murphi,Vietnam,ROM,35779,Juvenile,light greyish/purple,cream; very faint spot on middle of anterior edge of most ventrals; these are mor prominent and look more like halfmoons closer to the cloaca,sharpish; some bleeding of darker pigmentation into lighter pigmentation (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,128,divided,39,39,0.050237288,0.032508475,0.005254237,1.129864407,0.129864407,0.000372881,0.035186441,0.035118644,0.036305085,0.035525424,0.017762712,0.111627119,0.011355932,0.005118644,0.009322034,0.004338983,0.003898305,0.002542373,0.009288136,0.005661017,0.010881356,0.005288136,0.003661017,0.002440678,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,NCSM,86536,NA (juvenile?),"purple/grey (not charcoal, but not as light as the adults)",cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,127,divided,35,34,0.049335548,0.029833887,0.005481728,1.121993355,0.121993355,0.000365449,0.028704319,0.028604651,0.028305648,0.028538206,0.014285714,0.089667774,0.010730897,0.00538206,0.009368771,0.003986711,0.005282392,0.002093023,0.010996678,0.006179402,0.009900332,0.003953488,0.00461794,0.00269103,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,NCSM,85491,Female,light purple/grey,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,127,divided,36,36,0.055466667,0.0312,0.005933333,1.126633333,0.126633333,0.000366667,0.0279,0.027533333,0.0281,0.027833333,0.013933333,0.087466667,0.013266667,0.0052,0.0112,0.004533333,0.0049,0.002133333,0.012933333,0.004166667,0.012133333,0.004766667,0.0055,0.001833333,1+2,1,1,0,2,8,2+3,4+5,10,1–5,4+5
Hypsiscopus murphi,Taiwan,AMNH,76125,NA,greyish/purple,light yellow/creamish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of some ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,126,divided,36,36,0.062040816,0.035102041,0.006020408,1.162312925,0.162312925,0.00047619,0.038401361,0.038537415,0.039353741,0.03877551,0.019387755,0.121768707,0.012278912,0.005034014,0.010170068,0.004557823,0.007142857,0.002040816,0.011802721,0.004183673,0.01207483,0.004727891,0.005510204,0.002040816,1+2,1,2 | 1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,NCSM,76557,Female,light purple/grey,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,129,divided,33,32,0.058929134,0.037543307,0.004944882,1.11111811,0.11111811,0.000314961,0.034299213,0.034519685,0.034330709,0.034393701,0.01719685,0.108031496,0.01319685,0.006173228,0.010708661,0.004094488,0.005858268,0.00280315,0.012503937,0.004850394,0.011905512,0.004944882,0.00592126,0.002614173,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,NUoL,537,Female,olive greenish/grey,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,128,divided,33,32,0.054456693,0.032503937,0.005291339,1.114393701,0.114393701,0.000314961,0.041354331,0.04311811,0.042488189,0.042330709,0.021165354,0.132944882,0.01511811,0.003748031,0.009448819,0.005889764,0.006614173,0.002488189,0.012944882,0.005700787,0.01007874,0.005385827,0.005102362,0.002362205,1+2,1,1,0,2,8,2+3,4+5,10,1–5,4+5
Hypsiscopus murphi,Upper Mainland SEA,NCSM,85490,Male,light purple/grey,cream/faint orange; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe starting at subcaudal pair 12 from vent; subcaudals clean,trimmed,19,19,15,divided,125,divided,41,41,0.047258065,0.029516129,0.00516129,1.148129032,0.148129032,0.000419355,0.032322581,0.032322581,0.032612903,0.032419355,0.016225806,0.10183871,0.01216129,0.005516129,0.009903226,0.004548387,0.003612903,0.001903226,0.011967742,0.005709677,0.009612903,0.004870968,0.004032258,0.003129032,1+2,1,1,0,2,8,2+3,4+5,10,1–5,4+5
Hypsiscopus murphi,East of Red River [China],AMNH,33905,Female?,greyish/purple,yellow; faint pigmentation at posterior edge of scales; faint half moon on anterior part of posterior ventrals,gradual (DSR 4 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,128,divided,34,34,0.050173228,0.034173228,0.004629921,1.128566929,0.128566929,0.000346457,0.035653543,0.036440945,0.035496063,0.035874016,0.01792126,0.112661417,0.011023622,0.006047244,0.010897638,0.004818898,0.00623622,0.003338583,0.009543307,0.005637795,0.011905512,0.005669291,0.004314961,0.002393701,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,25391,male,dark/charcoal grey,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean (starts about 4 subcaudals from the vent),trimmed,19,19,17,divided,126,divided,37,38,0.048253968,0.029936508,0.005111111,1.14168254,0.14168254,0.000380952,0.032571429,0.03247619,0.032412698,0.03247619,0.016253968,0.102063492,0.013206349,0.013365079,0.004825397,0.00352381,0.005174603,0.001396825,0.01247619,0.00431746,0.012571429,0.004031746,0.004825397,0.001365079,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Sumatra,MCZ,37774,NA,light purple/grey; charcoal grey spots down anterior half of vertebral scales,cream/yellow; immaculate,"sharp, but some blending (between DSR 2 and 3 from ventrals); scale row 3 from ventrals are darker than surrounding rows making a lateral stripe on each side",charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,118,divided,34,35,0.063442623,0.037081967,0.005606557,1.18347541,0.18347541,0.00052459,0.045081967,0.045901639,0.045737705,0.04557377,0.022786885,0.143180328,0.016,0.006,0.014491803,0.006590164,0.004655738,0.002885246,0.014032787,0.005868852,0.014,0.005540984,0.004557377,0.001901639,1+2,1,1,0,2,8,2+3,4+5,8 | 9,1–5,5+6 | 4+5
