taxon,Locality,institution,ID,Sex,dorsal_color,ventral_color,dorsal-ventral_color_transition,ventral_tail_color,Chin_color,dorsal_scale_rows_anterior (10 ventrals in),dorsal_scale_rows_midbody,dorsal_scale_rows_posterior (5 before vent),anal_plate,ventrals,subcaudal_type,subcaudals_left,subcaudals_right,head_length,head_width,head_length-width_ratio,total_length,tail_length ,tail_total_ratio,body_width_midbody1 ,body_width_midbody2 ,body_width_midbody3 ,body_width_midbody_average,radius,circumference,anterior_chin_shield_length_left,anterior_chin_shield_width_left,posterior_chin_shield_length_left,posterior_chin_shield_width_left,intergenial_length_left,intergenial_width_left,anterior_chin_shield_length_right,anterior_chin_shield_width_right,posterior_chin_shield_length_right,posterior_chin_shield_width_right,intergenial_length_right,intergenial_width_right,temporal_scale_formula: ant+post (L | R),supraoculars (L | R),preoculars (L | R),suboculars (L | R),postoculars (L | R),supralabials (L | R),supralabials_contacts_loreal (L | R),supralabials_contact_eye (L | R),infralabials (L | R),infralabials_contact_anterior_chin_shields (L | R),infralabials_contact_posterior_chin_shields (L | R)
Hypsiscopus murphi,East of Red River [China],AMNH,33908,Female?,greyish/purple,yellowish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,127,divided,34,34,0.050029586,0.02964497,0.005,1.120680473,0.120680473,0.000325444,0.036538462,0.036715976,0.03704142,0.036775148,0.018372781,0.115502959,0.011183432,0.005029586,0.012366864,0.006272189,0.005,0.002278107,0.010828402,0.005177515,0.012366864,0.005029586,0.005295858,0.002485207,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Taiwan,UF,13228-1,Male,greyish/purple,yellowish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of ventrals,gradual (DSR 4 from ventrals is more dark than light); scale row 3-4 from ventrals are a bit darker than surrounding rows making a lateral stripe on each side,charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,126,divided,34,35,0.05277037,0.034992593,0.004474074,1.13442963,0.13442963,0.000355556,0.031585185,0.031940741,0.031555556,0.031703704,0.015851852,0.099555556,0.010518519,0.005985185,0.010251852,0.004740741,0.006874074,0.003348148,0.010488889,0.005896296,0.010725926,0.0048,0.005066667,0.002903704,1+2,1,1,0,2,8,1+2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,263706,NA,greyish/purple,cream;immaculate,"sharp (between DSR 3 and 4 from ventrals; tiny bit of bleeding, but barely)",charcol grey mid-ventral stripe (starting 6 subcaudals away from the vent); subcaudals clean,trimmed,19,19,17,divided,118,divided,38,39,0.050982143,0.032886905,0.004613095,1.139910714,0.139910714,0.000357143,0.042708333,0.044315476,0.043452381,0.043482143,0.04375,0.043571429,0.011458333,0.00577381,0.010952381,0.004077381,0.002797619,0.001994048,0.011607143,0.004702381,0.010446429,0.004285714,0.002886905,0.002678571,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,UF,72677,Female?,greyish/purple,cream;immaculate,sharp (between DSR 2 and 3 from ventrals),charcol grey mid-ventral stripe broken in some spots; subcaudals clean,bearded/trimmed?,19,19,15,divided,125,divided,33,32,0.053391557,0.033886463,0.004599709,1.115487627,0.115487627,0.000291121,0.032983988,0.032110626,0.033129549,0.032751092,0.01636099,0.102852984,0.011732169,0.004541485,0.009344978,0.003173217,0.00558952,0.00279476,0.010917031,0.004978166,0.01062591,0.00489083,0.003784571,0.002183406,1+2,1,1,0,2,8,2+3,4+5,10 | 8,1–5,5+6
Hypsiscopus murphi,Mainland SEA,UF,61113,NA,greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,124,divided,31,32,0.047362319,0.02484058,0.005536232,1.117362319,0.117362319,0.000318841,0.028463768,0.028028986,0.028405797,0.028289855,0.014144928,0.088898551,0.011217391,0.005449275,0.006956522,0.004289855,0.003391304,0.001623188,0.010637681,0.004086957,0.011304348,0.005507246,0.003594203,0.002173913,1+2 | 1+1,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,263712,NA,light greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,123,divided,31,31,0.054584527,0.03226361,0.004842407,1.128939828,0.128939828,0.000315186,0.031661891,0.031088825,0.032005731,0.031575931,0.031547278,0.031719198,0.013438395,0.005100287,0.009856734,0.002951289,0.004756447,0.001174785,0.011661891,0.004498567,0.009770774,0.003925501,0.003810888,0.000916905,1+2,1,1,0,2,8,2+3,4+5,9,1–5,5
Hypsiscopus plumbea,Borneo,MCZ,22653,Female?,light purple/grey,cream/yellow; immaculate,"sharp, but some blending (between DSR 1 and 2 from ventrals)",charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,113,divided,32,33,0.062409289,0.043193033,0.004179971,1.154949202,0.154949202,0.000377358,0.034571843,0.034397678,0.033875181,0.034281567,0.017155298,0.107692308,0.013671988,0.008040639,0.012017417,0.006298984,0.005079826,0.004992743,0.01425254,0.007314949,0.012278665,0.005776488,0.005689405,0.003628447,1+2,1,1,0,2,8,2+3,4+5,10,1–5,4+5
Hypsiscopus murphi,Vietnam,ROM,32376,NA,charcoal grey,yellow/goal;immaculate,sharp (between DSR 3 and 4 from ventrals) (but some a tiny bit of bleeding into the light colored lateral scales),charcol grey mid-ventral stripe; a bit choppy though (not continuous); subcaudals clean,trimmed,19,19,16,divided,126,divided,37,38,0.040197183,0.027126761,0.004169014,1.123746479,0.123746479,0.000309859,0.030507042,0.030816901,0.031126761,0.030816901,0.015408451,0.096816901,0.018619718,0.005492958,0.010929577,0.004,0.004535211,0.001971831,0.011323944,0.005211268,0.012507042,0.004,0.005239437,0.001802817,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Taiwan,UF,13229-5,NA,light greyish/purple,yellowish; very little to no pigmentation at posterior edge of scales; faint half moon on anterior part of some ventrals,gradualish/sharpish (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,125,divided,33,33,0.054033613,0.039019608,0.003865546,1.122212885,0.122212885,0.000308123,0.037338936,0.037170868,0.036722689,0.037086835,0.018543417,0.116470588,0.012240896,0.006722689,0.011764706,0.00535014,0.006554622,0.002296919,0.010728291,0.006078431,0.011904762,0.005322129,0.004985994,0.00254902,1+2,1,1,0,2,8,1+2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,263723,NA,greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe (starting 6 subcaudals away from the vent); subcaudals clean,trimmed,19,19,16,divided,124,divided,33,33,0.047827298,0.030111421,0.004428969,1.117966574,0.117966574,0.000306407,0.03356546,0.033871866,0.035766017,0.034401114,0.034679666,0.034958217,0.01091922,0.008467967,0.009526462,0.004317549,0.004874652,0.001922006,0.009415042,0.004233983,0.009498607,0.004038997,0.004930362,0.002061281,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Taiwan,AMNH,84480,NA,greyish/purple,light yellow/creamish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of some ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,127,divided,41,40,0.046676136,0.030085227,0.004403409,1.144232955,0.144232955,0.000369318,0.034119318,0.033181818,0.033380682,0.033551136,0.016789773,0.105426136,0.009403409,0.005568182,0.0084375,0.003551136,0.007784091,0.001875,0.009914773,0.006477273,0.008380682,0.005255682,0.004744318,0.002244318,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,NCSM,85517,Female,"light purple/grey; single, charcoal grey blotches here and there",cream; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,122,divided,34,34,0.054222222,0.031694444,0.00475,1.132638889,0.132638889,0.000333333,0.035583333,0.035805556,0.034472222,0.035277778,0.017638889,0.110861111,0.010833333,0.003472222,0.010083333,0.004083333,0.004638889,0.001722222,0.012138889,0.003305556,0.010027778,0.004361111,0.004444444,0.001138889,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,30933,female (gravid),greyish/purple,cream/yellowish; consistent halfmoon grey pigmentation at middle of anterior edge of scales; grey pigmentation along all anterior edge of scales,gradual,charcol grey mid-ventral stripe; clean(ish) with some bleeding pigmentation into subcaudauls,trimmed,19,19,17,divided,126,divided,28,29,0.050410959,0.028109589,0.00490411,1.120547945,0.120547945,0.00030137,0.03969863,0.040410959,0.040136986,0.040082192,0.020054795,0.125917808,0.011205479,0.007945205,0.009780822,0.00369863,0.003479452,0.002054795,0.011205479,0.006273973,0.009972603,0.005178082,0.00309589,0.002109589,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,NCSM,85493,Female,light purple/grey,cream/yellow; immaculate,"sharp, but some blending (between DSR 3 and 4 from ventrals)",charcol grey mid-ventral stripe starting at subcaudal pair 5 from vent; subcaudals clean,trimmed,19,19,15,divided,127,divided,35,35,0.051266846,0.03,0.004609164,1.110889488,0.110889488,0.000269542,0.037924528,0.038113208,0.03819407,0.038086253,0.01902965,0.119622642,0.01097035,0.005390836,0.008948787,0.004016173,0.004716981,0.001239892,0.010673854,0.005579515,0.010107817,0.00490566,0.004043127,0.001967655,1+2,1,1,0,2,8,2+3,4+5,10,1–5,4+5
Hypsiscopus murphi,Upper Mainland SEA,NCSM,79037,NA,light purple/grey,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe starting at subcaudal pair 4 from vent; subcaudals clean,trimmed,19,19,15,divided,126,divided,33,34,0.036380697,0.026300268,0.003699732,1.111179625,0.111179625,0.000268097,0.03386059,0.034182306,0.032520107,0.033512064,0.016756032,0.105308311,0.009678284,0.003592493,0.010080429,0.003431635,0.003297587,0.001903485,0.009410188,0.003780161,0.010455764,0.003136729,0.002412869,0.001018767,1+2,1,1,0,2,8 | 9,2+3,4+5,10,1–5,4+5
Hypsiscopus murphi,East of Red River [China],AMNH,33911,Male,olive greenish/grey; some random scales more olive green,yellow (mustard); faint pigmentation at posterior edge of scales; faint half moon on anterior part of ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,126,divided,32,32,0.053557047,0.036590604,0.003919463,1.114040268,0.114040268,0.000268456,0.035865772,0.036456376,0.035946309,0.036080537,0.018040268,0.113369128,0.012,0.006120805,0.012590604,0.005691275,0.006040268,0.035704698,0.011489933,0.006040268,0.012134228,0.004939597,0.005637584,0.003543624,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Taiwan,AMNH,83972,NA,greyish/purple,light yellow/creamish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of some ventrals,gradual (DSR 4 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,123,divided,37,36,0.055835616,0.033726027,0.004547945,1.141013699,0.141013699,0.000328767,0.036821918,0.036410959,0.035972603,0.036410959,0.018191781,0.114356164,0.010821918,0.006109589,0.00890411,0.004575342,0.005369863,0.002465753,0.009835616,0.005452055,0.00939726,0.004849315,0.004657534,0.002712329,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,250124,NA,light greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,126,divided,39,39,0.040421053,0.024131579,0.004421053,1.118421053,0.118421053,0.000289474,0.019526316,0.019315789,0.019263158,0.019368421,0.009684211,0.060842105,0.009973684,0.004736842,0.009210526,0.002631579,0.003342105,0.001578947,0.009342105,0.004184211,0.008789474,0.002631579,0.003921053,0.001394737,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,263711,female?,greyish/purple,cream;immaculate,"sharp but kind of gradual anterior edge of DSR 1,2,3 have charcoal grey)",charcol grey mid-ventral stripe (starting 4 subcaudals away from the vent); subcaudals clean,trimmed,19,19,17,divided,116,divided,37,38,0.05542328,0.035396825,0.004153439,1.131111111,0.131111111,0.00031746,0.037539683,0.038915344,0.038465608,0.038306878,0.038571429,0.038439153,0.008439153,0.007566138,0.010132275,0.004047619,0.005634921,0.002830688,0.010873016,0.00505291,0.012328042,0.004867725,0.005873016,0.003068783,1+2,1,1,0,2,8,2+3,4,10,1–5,5+6
Hypsiscopus murphi,Taiwan,AMNH,84481,NA,greyish/purple,light yellow/creamish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of some ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,129,divided,38,40,0.048364116,0.030026385,0.004248021,1.12817942,0.12817942,0.000290237,0.035778364,0.035989446,0.035778364,0.03585752,0.017915567,0.112612137,0.011530343,0.006358839,0.009656992,0.004617414,0.00530343,0.003245383,0.010686016,0.005699208,0.009973615,0.005171504,0.004353562,0.002823219,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,262422,NA,greyish/olive; random dark grey scales ,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe (6 subcauadls from vent; stripe is a bit scattered); subcaudals clean,trimmed,19,19,15,divided,127,divided,36,36,0.053076923,0.033794872,0.004025641,1.123794872,0.123794872,0.000282051,0.038410256,0.037948718,0.038615385,0.038333333,0.038307692,0.038410256,0.011871795,0.005205128,0.011076923,0.004410256,0.003666667,0.001923077,0.010692308,0.005384615,0.011128205,0.004846154,0.005871795,0.001641026,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,25638,female?,light greyish/purple,cream; very faint spot on middle of anterior edge of most ventrals; these are mor prominent and look more like halfmoons closer to the cloaca,sharpish; some bleeding of darker pigmentation into lighter pigmentation (between DSR 3 and 4 from ventrals); the transition point has some darker coloration making the appearnace of a lateral stripe on each side,charcol grey mid-ventral stripe; subcaudals clean but towards tail tip there is some bleeding,trimmed,19,19,17,divided,126,divided,34,34,0.044759494,0.029189873,0.003873418,1.119265823,0.119265823,0.000278481,0.030101266,0.030481013,0.030506329,0.03035443,0.015189873,0.095392405,0.01156962,0.005848101,0.011974684,0.003443038,0.00556962,0.002759494,0.011341772,0.005341772,0.010886076,0.003620253,0.004632911,0.002151899,1+2,1,1,0,2,8,2+3,4+5,10 | 9,1–5,5+6 | 5
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,263730,male,greyish/purple,yellow;immaculate,"sharp but kind of gradual anterior edge of DSR 1,2 have charcoal grey); not as prominent, but some darker coloration on the DSR 4 makes a lateral stripe, but not as visible as Java and Sumatra specimens)",charcol grey mid-ventral stripe (starting 4 subcaudals away from the vent); subcaudals clean,trimmed,19,19,17,divided,119,divided,36,35,0.049795396,0.030230179,0.004219949,1.137749361,0.137749361,0.000306905,0.046138107,0.046214834,0.046803069,0.046393862,0.046470588,0.046547315,0.010997442,0.00455243,0.009565217,0.004040921,0.005038363,0.002276215,0.010869565,0.005319693,0.010690537,0.004066496,0.00488491,0.001560102,1+2,1,1,0,2,8,2+3,4 | 4+5,10,1–5,5+6
Hypsiscopus murphi,Taiwan,AMNH,83973,NA,greyish/purple,yellowish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,124,divided,31,31,0.051125,0.0393,0.00325,1.115725,0.115725,0.00025,0.0329,0.033,0.03285,0.032925,0.01645,0.1034,0.010025,0.006575,0.0109,0.005475,0.0056,0.003875,0.010575,0.0061,0.011475,0.0052,0.0069,0.003,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,East of Red River [China],AMNH,33909,NA,greyish/purple,yellow; faint pigmentation at posterior edge of scales; faint half moon on anterior part of most ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,17,divided,126,divided,33,33,0.051251549,0.034076828,0.003717472,1.107980173,0.107980173,0.000247831,0.030557621,0.032143742,0.031449814,0.031375465,0.015687732,0.098587361,0.011053284,0.005972739,0.012515489,0.005898389,0.007261462,0.002701363,0.010136307,0.006369269,0.011598513,0.006270136,0.004436183,0.002899628,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,262423,NA,greyish/grey,cream;immaculate,sharp (between DSR 3 and 4 from ventrals; tiny bit of bleeding),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,131,divided,37,36,0.050525,0.03305,0.003825,1.119475,0.119475,0.000275,0.036425,0.036275,0.03535,0.036025,0.035875,0.03575,0.011575,0.005325,0.010025,0.00385,0.003625,0.001875,0.011025,0.004375,0.00845,0.004275,0.00335,0.00175,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,30818,female (gravid),dark greyish/purple; anterior edges of scales are darker in pigmentation,cream/yellowish; consistent halfmoon grey pigmentation at middle of anterior edge of scales; grey pigmentation along all anterior edge of scales,gradual,charcol grey mid-ventral stripe; clean(ish) with some bleeding pigmentation into subcaudauls,trimmed,19,17,19,divided,125,divided,32,32,0.046832918,0.029027431,0.004014963,1.117157107,0.117157107,0.000249377,0.033266833,0.034114713,0.033441397,0.03361596,0.01680798,0.105586035,0.012044888,0.005610973,0.010349127,0.004763092,0.005187032,0.002518703,0.010822943,0.005461347,0.00957606,0.00478803,0.004738155,0.002044888,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,25389,NA,light greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean (starts about 4 subcaudals from the vent),trimmed,19,19,17,divided,130,divided,34,34,0.048656716,0.03300995,0.003656716,1.115646766,0.115646766,0.000248756,0.029427861,0.029353234,0.028781095,0.029179104,0.01460199,0.091691542,0.011343284,0.005597015,0.010995025,0.004676617,0.004477612,0.001840796,0.012263682,0.005248756,0.010771144,0.004402985,0.003631841,0.001840796,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Java,FMNH,131229,NA,greyish/purple; dorsal stripe of dark grey vertebral scales down most of the specimen,cream/tan; faint pigmentation at posterior edge of scales; grey blotches at anterior edge of scales on most scales,"sharp, but some blending (between DSR 2 and 3 from ventrals); scale row 3 from ventrals are darker than surrounding rows making a lateral stripe on each side (not as obviou as the Sumatran specimen MCZ 37774)",charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,123,divided,36,35,0.048586118,0.027892031,0.004473008,1.154241645,0.154241645,0.00033419,0.032262211,0.032287918,0.032442159,0.032339332,0.016169666,0.101568123,0.012596401,0.005449871,0.01125964,0.003650386,0.005938303,0.001670951,0.012107969,0.004267352,0.011208226,0.004395887,0.005424165,0.001233933,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Taiwan,UF,13227-5,Male,greyish/purple,yellowish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of ventrals,gradual (DSR 3 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,16,divided,128,divided,37,36,0.05019656,0.036044226,0.003415233,1.123955774,0.123955774,0.00027027,0.03972973,0.03958231,0.039459459,0.03958231,0.01980344,0.124373464,0.011719902,0.004938575,0.011769042,0.006093366,0.006781327,0.002800983,0.009213759,0.005454545,0.011056511,0.004570025,0.006216216,0.001572482,2+2,1,2,0,2,8,1+2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,NCSM,76558,Female,light purple/grey,cream/yellow; immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,130,divided,36,36,0.046754177,0.030190931,0.003699284,1.11725537,0.11725537,0.000238663,0.035823389,0.036658711,0.036491647,0.036324582,0.018162291,0.114128878,0.010906921,0.005178998,0.01150358,0.003627685,0.004606205,0.002052506,0.011718377,0.004916468,0.011121718,0.00353222,0.004821002,0.001264916,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,263732,NA,light grey,cream;immaculate,"sharp but kind of gradual anterior edge of DSR 1,2,3 have charcoal grey)",charcol grey mid-ventral stripe (starting 6 subcaudals away from the vent); subcaudals clean,trimmed,19,19,15,divided,125,divided,35,35,0.048043478,0.03384058,0.003429952,1.144927536,0.144927536,0.00031401,0.039975845,0.038719807,0.038019324,0.038913043,0.038550725,0.038502415,0.013164251,0.00615942,0.013043478,0.005241546,0.004782609,0.002995169,0.011884058,0.004565217,0.012729469,0.0052657,0.003792271,0.002415459,1+2,1,1,0,2,8,2+3 | 1+2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Coastal Mainland SEA,NCSM,98995,male,"light purple/grey; single, black scales here and there",cream/yellowish; random grey half moons (1 or more) on many of the anterior (and sometimes posterior) portions of the scale edge,gradual,charcol grey mid-ventral stripe with bleeding pigmentation into subcaudauls,bearded,19,19,17,divided,115,divided,39,40,0.046139089,0.032877698,0.003357314,1.13705036,0.13705036,0.00028777,0.038513189,0.039496403,0.038705036,0.038896882,0.019448441,0.122230216,0.009928058,0.005947242,0.010959233,0.005251799,0.005107914,0.002709832,0.012014388,0.006306954,0.011990408,0.004484412,0.005443645,0.002494005,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Taiwan,AMNH,84482,NA,dark greyish/purple,light yellow/creamish; faint pigmentation at posterior edge of scales; faint half moon on anterior part of some ventrals,gradual (DSR 2 from ventrals is more dark than light),charcol grey mid-ventral stripe; subcaudals clean,trimmed,19,19,15,divided,128,divided,39,40,0.047735849,0.028820755,0.003915094,1.129481132,0.129481132,0.000259434,0.033160377,0.033632075,0.032924528,0.033231132,0.016627358,0.104433962,0.00995283,0.006179245,0.008891509,0.004976415,0.004363208,0.002169811,0.009669811,0.006226415,0.011320755,0.00490566,0.005943396,0.003113208,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Upper Mainland SEA,FMNH,265800,NA,greyish/purple,cream;immaculate,sharp (between DSR 3 from ventrals),charcol grey mid-ventral stripe; subcaudals clean (starts about 2 subcaudals from the vent),trimmed,19,19,15,divided,127,divided,36,36,0.043559719,0.028384075,0.003583138,1.127447307,0.127447307,0.000257611,0.03175644,0.031733021,0.032740047,0.032084309,0.016042155,0.100772834,0.010936768,0.004168618,0.011405152,0.003161593,0.004215457,0.001311475,0.010444965,0.003700234,0.010515222,0.002997658,0.004332553,0.001428571,1+2,1,1,0,2,8,2+3 | 1+2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,32391,NA,light greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean ,trimmed,19,19,15,divided,135,divided,36,36,0.045655172,0.029103448,0.003609195,1.111425287,0.111425287,0.000229885,0.035448276,0.035287356,0.034643678,0.035126437,0.017563218,0.110344828,0.009563218,0.004666667,0.00891954,0.003724138,0.004597701,0.001908046,0.008781609,0.005218391,0.008758621,0.004045977,0.003816092,0.002022989,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,32373,NA,dark grey,"yellow/gold;immaculate; some dots of pigmentation on mid of ventrals midbody to posterior, but barely; this is considered immaculate",sharp (between DSR 3 and 4 from ventrals) (but some a tiny bit of bleeding into the light colored lateral scales),charcol grey mid-ventral stripe; a bit choppy though (not continuous); subcaudals clean,trimmed,19,19,17,divided,134,divided,22,22,0.043,0.031333333,0.003044444,1.079422222,0.079422222,0.000155556,0.036333333,0.036511111,0.036622222,0.036488889,0.018244444,0.114622222,0.012533333,0.005422222,0.011733333,0.004822222,0.004822222,0.002222222,0.010733333,0.004933333,0.010622222,0.003888889,0.002755556,0.0012,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Vietnam,ROM,32388,NA,light greyish/purple,cream;immaculate,sharp (between DSR 3 and 4 from ventrals),charcol grey mid-ventral stripe; subcaudals clean (starts about 8 subcaudals from the vent),trimmed,19,19,15,divided,131,divided,34,34,0.042778993,0.027527352,0.003391685,1.103238512,0.103238512,0.000196937,0.029606127,0.029190372,0.029146608,0.029321663,0.014660832,0.092100656,0.009956236,0.004660832,0.007199125,0.003501094,0.004091904,0.00166302,0.010109409,0.004332604,0.008884026,0.003413567,0.003676149,0.00131291,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,263727,NA,greyish/purple,cream/tan; faint pigmentation at posterior edge of scales; grey blotches at anterior edge of scales on some scales,"sharp but kind of gradual anterior edge of DSR 1,2 have charcoal grey); not as prominent, but some darker coloration on the DSR 4 makes a lateral stripe, but not as visible as Java and Sumatra specimens)",charcol grey mid-ventral stripe; subcaudals dirty,trimmed,19,19,15,divided,123,divided,32,31,0.04968444,0.031991295,0.003373232,1.097932535,0.097932535,0.000195865,0.040304679,0.040261153,0.040457018,0.040348205,0.040348205,0.04039173,0.011947769,0.004156692,0.011730141,0.004461371,0.004874864,0.001501632,0.011926007,0.004504897,0.011360174,0.003895539,0.005244831,0.001915125,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus murphi,Upper Mainland SEA,FMNH,259222,male,very dark grey/purple,cream;immaculate,sharp (between DSR 3 from ventrals),charcol grey mid-ventral stripe (a bit thicker than usual); subcaudals clean,trimmed? A bit more prominent though,19,19,15,divided,135,divided,38,38,0.040414847,0.028537118,0.003100437,1.113733624,0.113733624,0.000218341,0.029432314,0.029344978,0.029082969,0.029279476,0.014650655,0.092008734,0.009737991,0.004323144,0.007576419,0.003427948,0.003187773,0.001615721,0.00941048,0.004628821,0.008755459,0.003362445,0.002772926,0.001266376,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
Hypsiscopus plumbea,Coastal Mainland SEA,NCSM,98996,Female,"light purple/grey; single, black scales here and there",cream/yellowish; consistent halfmoon grey pigmentation at middle of anterior edge of scales; grey pigmentation along all anterior edge of scales,gradual,charcol grey mid-ventral stripe with bleeding pigmentation into subcaudauls,bearded,19,19,17,divided,116,divided,33,34,0.055626327,0.033800425,0.003503185,1.121316348,0.121316348,0.000233546,0.04447983,0.044458599,0.044394904,0.044437367,0.022229299,0.139617834,0.010403397,0.006751592,0.011868365,0.004288747,0.005987261,0.002462845,0.009936306,0.005711253,0.011592357,0.004904459,0.006178344,0.002229299,1+2,1,1,0,2,8,2+3,4+5,10,1–5,5+6
